"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"DL","SFO","ATL","JFK","0.0","3.0","9.0","-19.0"
"VX","SFO","LAX","JFK","-4.0","-10.0","14.0","15.0"
"AA","SFO","DFW","JFK","-2.0","-15.0","-4.0","-12.0"
"VX","SFO","LAX","JFK","-7.0","-10.0","-8.0","-6.0"
"VX","SFO","LAX","JFK","-7.0","-12.0","1.0","-8.0"
"B6","SFO","BOS","JFK","34.0","30.0","-3.0","-2.0"
"DL","SFO","LAX","JFK","39.0","44.0","5.0","-24.0"
"B6","SFO","BOS","JFK","29.0","20.0","-6.0","-3.0"
"AA","SFO","ORD","JFK","0.0","-28.0","-2.0","-14.0"
"B6","SFO","BOS","JFK","9.0","-15.0","-4.0","-8.0"
"AA","SFO","LAX","JFK","-5.0","-19.0","-3.0","-20.0"
"DL","SFO","ATL","JFK","0.0","-11.0","-3.0","-25.0"
"B6","SFO","LAS","JFK","-5.0","-29.0","-5.0","-17.0"
"AA","SFO","PHX","JFK","-3.0","-12.0","-5.0","-16.0"
"DL","SFO","LAX","JFK","78.0","88.0","36.0","10.0"
"AA","SFO","PHX","JFK","-13.0","-32.0","44.0","32.0"
"AA","SFO","DFW","JFK","-8.0","-21.0","3.0",
"AA","SFO","PHX","JFK","-9.0","-1.0","4.0","-9.0"
"AA","SFO","CLT","JFK","80.0","91.0","2.0","-9.0"
"AS","SFO","SEA","JFK","35.0","26.0","-3.0","-8.0"
"DL","SFO","LAX","JFK","19.0","12.0","-5.0","16.0"
"VX","SFO","LAX","JFK","-5.0","-9.0","-4.0","-7.0"
"AA","SFO","CLT","JFK","11.0","-5.0","3.0","7.0"
"AA","SFO","MIA","JFK","3.0","-12.0","1.0","6.0"
"AA","SFO","LAX","JFK","45.0","39.0","-7.0","10.0"
"AA","SFO","LAX","JFK","45.0","39.0","-6.0","5.0"
"VX","SFO","LAX","JFK","17.0","22.0","3.0","6.0"
"AA","SFO","LAX","JFK","21.0","-1.0","-6.0","5.0"
"DL","SFO","ATL","JFK","31.0","35.0","-2.0","-13.0"
"DL","SFO","ATL","JFK","31.0","35.0","0.0","-17.0"
"DL","SFO","ATL","JFK","0.0","-10.0","0.0","-13.0"
"AA","SFO","PHX","JFK","-5.0","-3.0","1.0","13.0"
"DL","SFO","LAX","JFK","93.0","124.0","36.0","70.0"
"AA","SFO","CLT","JFK","5.0","28.0","5.0","-4.0"
"AA","SFO","DFW","JFK","0.0","-17.0","86.0","78.0"
"AA","SFO","MIA","JFK","-1.0","-16.0","-5.0","-18.0"
"B6","SFO","LAS","JFK","1.0","-4.0","-10.0","-33.0"
"VX","SFO","LAX","JFK","-3.0","-11.0","48.0","16.0"
"AA","SFO","MIA","JFK","-5.0","12.0","125.0","95.0"
"AA","SFO","LAX","JFK","-4.0","-2.0","42.0","18.0"
"DL","SFO","LAX","JFK","3.0","-9.0","7.0","-27.0"
"AA","SFO","CLT","JFK","3.0","-31.0","3.0","1.0"
"VX","SFO","LAX","JFK","14.0","0.0","0.0","-28.0"
"VX","SFO","LAX","JFK","0.0","2.0","62.0","40.0"
"B6","SFO","BOS","JFK","13.0","13.0","68.0","69.0"
"B6","SFO","BOS","JFK","13.0","13.0","124.0","133.0"
"B6","SFO","BOS","JFK","13.0","13.0","62.0","67.0"
"DL","SFO","LAX","JFK","0.0","-2.0","0.0","-30.0"
"VX","SFO","LAX","JFK","6.0","5.0","23.0","-1.0"
"AA","SFO","ORD","JFK","-3.0","-14.0","-5.0","-23.0"
"AA","SFO","ORD","JFK","-2.0","-33.0","-8.0","-23.0"
"AA","SFO","CLT","JFK","23.0","15.0","-1.0","-8.0"
"B6","SFO","LGB","JFK","1.0","-1.0","8.0","15.0"
"AA","SFO","LAX","JFK","-3.0","-9.0","3.0","-27.0"
"AA","SFO","LAX","JFK","-3.0","-9.0","-3.0","-12.0"
"DL","SFO","LAX","JFK","-3.0","16.0","16.0","4.0"
"DL","SFO","ATL","JFK","1.0","-18.0","52.0","44.0"
"DL","SFO","ATL","JFK","-4.0","-16.0","-5.0","-31.0"
"AA","SFO","CLT","JFK","8.0","-15.0","75.0","89.0"
"AA","SFO","CLT","JFK","-1.0","-7.0","35.0","28.0"
"DL","SFO","ATL","JFK","68.0","57.0","0.0","-18.0"
"AA","SFO","MIA","JFK","19.0","6.0","-3.0","3.0"
"AA","SFO","CLT","JFK","18.0","23.0","0.0","3.0"
"AA","SFO","PHX","JFK","26.0","25.0","-6.0","-24.0"
"AA","SFO","MIA","JFK","39.0","54.0","-10.0","-5.0"
"AA","SFO","PHX","JFK","-1.0","-12.0","30.0","61.0"
"AA","SFO","DFW","JFK","-2.0","-28.0","58.0","162.0"
"B6","SFO","FLL","JFK","169.0","148.0","75.0","105.0"
"DL","SFO","ATL","JFK","3.0","-2.0","114.0","101.0"
"AA","SFO","CLT","JFK","-1.0","-22.0","27.0","12.0"
"AA","SFO","DFW","JFK","5.0","-20.0","0.0","-23.0"
"AA","SFO","DFW","JFK","-5.0","-17.0","7.0","-13.0"
"AA","SFO","MIA","JFK","0.0","-10.0","-4.0","-17.0"
"VX","SFO","LAX","JFK","-1.0","8.0","4.0","3.0"
"VX","SFO","LAX","JFK","-4.0","-9.0","1.0","7.0"
"B6","SFO","LAS","JFK","2.0","9.0","-2.0","0.0"
"AA","SFO","CLT","JFK","-2.0","-10.0","-3.0","-20.0"
"AA","SFO","CLT","JFK","-7.0","-21.0","-2.0","-14.0"
"VX","SFO","LAX","JFK","-3.0","-1.0","1.0","2.0"
"AA","SFO","DFW","JFK","8.0","7.0","53.0","50.0"
"AA","SFO","PHX","JFK","-6.0","-18.0","-8.0","-4.0"
"AA","SFO","LAX","JFK","-6.0","-17.0","-6.0","-11.0"
"AA","SFO","LAX","JFK","-9.0","-29.0","-5.0","-9.0"
"B6","SFO","BOS","JFK","-5.0","-6.0","-10.0","-26.0"
"B6","SFO","BOS","JFK","-5.0","-6.0","-3.0","-9.0"
"AA","SFO","DFW","JFK","-7.0","-21.0","-4.0","-20.0"
"B6","SFO","BOS","JFK","4.0","1.0","10.0","-2.0"
"AS","SFO","SEA","JFK","18.0","21.0","6.0","-15.0"
"AA","SFO","LAX","JFK","-2.0","18.0","-7.0","10.0"
"AA","SFO","LAX","JFK","-2.0","18.0","-6.0","5.0"
"B6","SFO","FLL","JFK","67.0","82.0","5.0","-7.0"
"VX","SFO","LAX","JFK","125.0","128.0","3.0","-9.0"
"VX","SFO","LAX","JFK","18.0","9.0","18.0","9.0"
"AA","SFO","MIA","JFK","-2.0","30.0","2.0","-8.0"
"AA","SFO","CLT","JFK","-3.0","-5.0","51.0","49.0"
"DL","SFO","ATL","JFK","3.0","-32.0","172.0","148.0"
"DL","SFO","ATL","JFK","3.0","-32.0","27.0","8.0"
"AA","SFO","ORD","JFK","-2.0","-21.0","13.0","4.0"
"DL","SFO","LAX","JFK","46.0","46.0","-1.0","-38.0"
"AA","SFO","ORD","JFK","-6.0","-1.0","-4.0","-6.0"
"DL","SFO","ATL","JFK","-1.0","-6.0","19.0","1.0"
