"airline","origin_airport","stopover_airport","destination_airport","origin_departure_delay","stopover_arrival_delay","stopover_departure_delay","destination_arrival_delay"
"DL","SFO","ATL","JFK","1.0","-16.0","15.0","7.0"
"B6","SFO","FLL","JFK","20.0","25.0","5.0","-7.0"
"B6","SFO","FLL","JFK","20.0","25.0","-2.0","-7.0"
"DL","SFO","DTW","JFK","-4.0","19.0","217.0","201.0"
"DL","SFO","ATL","JFK","16.0","16.0","13.0","-5.0"
"AA","SFO","DFW","JFK","-2.0","-22.0","2.0","-24.0"
"AA","SFO","ORD","JFK","-1.0","-7.0","42.0","9.0"
"VX","SFO","LAX","JFK","2.0","-8.0","5.0","-11.0"
"B6","SFO","BOS","JFK","33.0","3.0","2.0","1.0"
"AA","SFO","ORD","JFK","-7.0","-40.0","-3.0","-35.0"
"VX","SFO","LAX","JFK","29.0","22.0","145.0","122.0"
"DL","SFO","MSP","JFK","-6.0","-20.0","-3.0","-7.0"
"AA","SFO","CLT","JFK","-9.0","-21.0","-3.0","-16.0"
"AA","SFO","LAX","JFK","-7.0","-28.0","-4.0","-13.0"
"AA","SFO","DFW","JFK","0.0","-17.0","-4.0","-15.0"
"AA","SFO","CLT","JFK","-10.0","-6.0","0.0","1.0"
"AA","SFO","PHX","JFK","-7.0","-13.0","2.0","-1.0"
"DL","SFO","LAX","JFK","25.0","18.0","27.0","16.0"
"DL","SFO","MSP","JFK","-4.0","-27.0","-3.0","-28.0"
"AA","SFO","CLT","JFK","-8.0","-36.0","8.0","6.0"
"AA","SFO","ORD","JFK","-4.0","-30.0","0.0","-10.0"
"DL","SFO","ATL","JFK","5.0","-13.0","17.0","20.0"
"B6","SFO","LAS","JFK","45.0","41.0","-2.0","-27.0"
"DL","SFO","ATL","JFK","-1.0","-20.0","2.0","-1.0"
"AA","SFO","PHX","JFK","99.0","95.0","-2.0","-19.0"
"AA","SFO","ORD","JFK","0.0","-18.0","11.0","-14.0"
"DL","SFO","LAX","JFK","2.0","14.0","-8.0","-44.0"
"B6","SFO","LAS","JFK","75.0","70.0","25.0","3.0"
"AA","SFO","ORD","JFK","-7.0","-36.0","-5.0","-18.0"
"DL","SFO","ATL","JFK","-3.0","-13.0","0.0","-19.0"
"AA","SFO","CLT","JFK","-7.0","-8.0","0.0","1.0"
"AS","SFO","SEA","JFK","-5.0","-12.0","10.0","-30.0"
"AA","SFO","DFW","JFK","-5.0","-20.0","5.0","-1.0"
"B6","SFO","FLL","JFK","206.0","208.0","1.0","2.0"
"B6","SFO","FLL","JFK","206.0","208.0","35.0","43.0"
"AA","SFO","ORD","JFK","-6.0","-8.0","8.0","35.0"
"VX","SFO","LAX","JFK","85.0","85.0","20.0","-12.0"
"DL","SFO","LAX","JFK","-3.0","9.0","-1.0","-35.0"
"DL","SFO","LAX","JFK","4.0","7.0","-1.0","-35.0"
"DL","SFO","LAX","JFK","4.0","7.0","1.0","-39.0"
"VX","SFO","LAX","JFK","-4.0","5.0","20.0","-12.0"
"B6","SFO","BOS","JFK","-1.0","-7.0","39.0","49.0"
"DL","SFO","ATL","JFK","2.0","-8.0","1.0","-13.0"
"DL","SFO","LAX","JFK","-2.0","-7.0","5.0","-19.0"
"DL","SFO","LAX","JFK","-3.0","11.0","-5.0","-34.0"
"AA","SFO","MIA","JFK","2.0","-13.0","-5.0","-7.0"
"B6","SFO","FLL","JFK","121.0","109.0","39.0","35.0"
"DL","SFO","ATL","JFK","0.0","-19.0","-1.0","-30.0"
"B6","SFO","FLL","JFK","0.0","7.0","-3.0","4.0"
"AA","SFO","MIA","JFK","3.0","-14.0","-1.0","-18.0"
"B6","SFO","FLL","JFK","5.0","20.0","85.0","61.0"
"DL","SFO","ATL","JFK","3.0","-4.0","47.0","31.0"
"DL","SFO","LAX","JFK","5.0","55.0","9.0","-13.0"
"B6","SFO","FLL","JFK","151.0","155.0","76.0","63.0"
"AA","SFO","MIA","JFK","113.0","95.0","-5.0","-13.0"
"AA","SFO","ORD","JFK","3.0","-31.0","2.0","3.0"
"DL","SFO","DTW","JFK","10.0","-31.0","29.0","30.0"
"AA","SFO","PHX","JFK","-4.0","0.0","-3.0","-26.0"
"AA","SFO","MIA","JFK","0.0","-2.0","23.0","9.0"
"DL","SFO","LAX","JFK","128.0","127.0","12.0","7.0"
"AA","SFO","DFW","JFK","14.0","-2.0","9.0","1.0"
"DL","SFO","LAX","JFK","-2.0","-17.0","0.0","-34.0"
"VX","SFO","LAX","JFK","0.0","14.0","8.0","-3.0"
"AA","SFO","ORD","JFK","25.0","-2.0","-2.0","38.0"
"AA","SFO","PHX","JFK","86.0","67.0","3.0","8.0"
"DL","SFO","LAX","JFK","-4.0","9.0","17.0","10.0"
"DL","SFO","LAX","JFK","-4.0","9.0","2.0","26.0"
"DL","SFO","LAX","JFK","69.0","78.0","16.0","20.0"
"VX","SFO","LAX","JFK","2.0","7.0","32.0","13.0"
"AA","SFO","ORD","JFK","6.0","-28.0","177.0","153.0"
"B6","SFO","FLL","JFK","-2.0","0.0","-2.0","-15.0"
"DL","SFO","ATL","JFK","82.0","77.0","0.0","-17.0"
"AA","SFO","PHX","JFK","-3.0","-18.0","8.0","-20.0"
"AA","SFO","PHX","JFK","3.0","-10.0","-11.0","-45.0"
"AA","SFO","LAX","JFK","-6.0","-13.0","-5.0","2.0"
"AA","SFO","DFW","JFK","-2.0","38.0","-3.0","93.0"
"AA","SFO","MIA","JFK","-2.0","4.0","0.0","9.0"
"AA","SFO","DFW","JFK","15.0","-1.0","21.0","21.0"
"AA","SFO","PHX","JFK","-5.0","-6.0","-3.0","-25.0"
"AA","SFO","LAX","JFK","-6.0","-10.0","-5.0","29.0"
"AA","SFO","LAX","JFK","-6.0","-10.0","32.0","32.0"
"DL","SFO","LAX","JFK","133.0","136.0","4.0","-1.0"
"AA","SFO","CLT","JFK","6.0","13.0","8.0","-10.0"
"DL","SFO","LAX","JFK","90.0","97.0","-2.0","-13.0"
"AA","SFO","DFW","JFK","-4.0","-20.0","0.0","-20.0"
"AA","SFO","MIA","JFK","-1.0","-20.0","18.0","11.0"
"AA","SFO","PHX","JFK","-7.0","-4.0","-7.0","4.0"
"DL","SFO","LAX","JFK","16.0","9.0","-9.0","-9.0"
"B6","SFO","FLL","JFK","18.0","16.0","-4.0","-18.0"
"AA","SFO","PHX","JFK","-14.0","-21.0","-3.0","1.0"
"AA","SFO","PHX","JFK","-3.0","-5.0","2.0","-1.0"
"DL","SFO","LAX","JFK","3.0","18.0","-6.0","7.0"
"AA","SFO","LAX","JFK","41.0","45.0","-8.0","-3.0"
"VX","SFO","LAX","JFK","-3.0","-2.0","-4.0","12.0"
"DL","SFO","ATL","JFK","11.0","19.0","27.0","8.0"
"AA","SFO","DFW","JFK","6.0","-10.0","86.0","78.0"
"AA","SFO","PHX","JFK","16.0","8.0","3.0","-15.0"
"DL","SFO","ATL","JFK","159.0","156.0","114.0","106.0"
"DL","SFO","ATL","JFK","159.0","156.0","12.0","-5.0"
"B6","SFO","LAS","JFK","10.0","1.0","6.0","-15.0"
"AA","SFO","PHX","JFK","-7.0","-25.0","31.0","15.0"
"VX","SFO","LAX","JFK","26.0","29.0","16.0","6.0"
"AA","SFO","PHX","JFK","-6.0","-17.0","58.0","3.0"
"VX","SFO","LAX","JFK","2.0","-13.0","71.0","105.0"
"VX","SFO","LAX","JFK","2.0","-13.0","23.0","27.0"
"AS","SFO","SEA","JFK","1.0","-4.0","32.0","2.0"
"AA","SFO","DFW","JFK","1.0","-16.0","-3.0","-10.0"
"AA","SFO","DFW","JFK","18.0","6.0","19.0","8.0"
"AA","SFO","MIA","JFK","61.0","38.0","-4.0","-15.0"
"VX","SFO","LAS","JFK","-3.0","13.0","-8.0","-36.0"
"VX","SFO","LAX","JFK","6.0","-4.0","0.0","-11.0"
"B6","SFO","BOS","JFK","4.0","-15.0","9.0","6.0"
"B6","SFO","LGB","JFK","-6.0","-14.0","11.0","19.0"
"DL","SFO","ATL","JFK","0.0","-12.0","35.0","26.0"
"AA","SFO","LAX","JFK","-8.0","19.0","33.0","3.0"
"AA","SFO","CLT","JFK","-5.0","-15.0","-4.0","-23.0"
"B6","SFO","FLL","JFK","8.0","10.0","0.0","2.0"
"DL","SFO","ATL","JFK","-9.0","6.0","-2.0","-19.0"
"AA","SFO","LAX","JFK","-3.0","-22.0","-6.0","-26.0"
"AS","SFO","SEA","JFK","-11.0","3.0","-5.0","-38.0"
"AA","SFO","CLT","JFK","-3.0","-13.0","-1.0","-15.0"
"AA","SFO","CLT","JFK","10.0","-2.0","-1.0","-8.0"
"AA","SFO","PHX","JFK","-3.0","-17.0","-4.0","2.0"
"AS","SFO","SEA","JFK","-8.0","-12.0","0.0","-27.0"
"DL","SFO","LAX","JFK","74.0","77.0","34.0","8.0"
"DL","SFO","ATL","JFK","14.0","-6.0","21.0","12.0"
"AA","SFO","LAX","JFK","-6.0","-9.0","1.0","-26.0"
"AA","SFO","ORD","JFK","-6.0","-36.0","-2.0","-13.0"
"AA","SFO","CLT","JFK","-8.0","-6.0","-6.0","-9.0"
"DL","SFO","ATL","JFK","-1.0","-17.0","17.0","20.0"
"VX","SFO","LAX","JFK","-7.0","16.0","1.0","-7.0"
"AA","SFO","PHX","JFK","-7.0","-2.0","-2.0","8.0"
"AS","SFO","SEA","JFK","-9.0","-4.0","-2.0","-20.0"
"DL","SFO","MSP","JFK","7.0","0.0","-3.0","-15.0"
"AA","SFO","PHX","JFK","-3.0","-8.0","1.0","15.0"
"AS","SFO","SEA","JFK","-2.0","9.0","-1.0","-46.0"
"AA","SFO","LAX","JFK","-1.0","-16.0","-6.0","-21.0"
"AA","SFO","LAX","JFK","-1.0","-16.0","-5.0","4.0"
"DL","SFO","LAX","JFK","94.0","105.0","14.0","-6.0"
"AA","SFO","CLT","JFK","-1.0","-10.0","14.0","13.0"
"VX","SFO","LAX","JFK","25.0","35.0","20.0","-12.0"
"AA","SFO","CLT","JFK","-3.0","-2.0","-2.0","7.0"
"AA","SFO","LAX","JFK","-7.0","-18.0","-4.0","-31.0"
"AA","SFO","LAX","JFK","-7.0","-18.0","19.0","-3.0"
"AA","SFO","ORD","JFK","2.0","-13.0","-4.0","-21.0"
"AA","SFO","PHX","JFK","0.0","-16.0","-8.0","-33.0"
"VX","SFO","LAX","JFK","0.0","2.0","21.0","6.0"
"AA","SFO","CLT","JFK","-2.0","-12.0","25.0","13.0"
"VX","SFO","LAX","JFK","7.0","22.0","8.0","-10.0"
"DL","SFO","LAX","JFK","-1.0","0.0","40.0","15.0"
"AS","SFO","SEA","JFK","9.0","-3.0","3.0","-45.0"
"DL","SFO","ATL","JFK","167.0","157.0","1.0","-2.0"
"AS","SFO","SEA","JFK","-3.0","-1.0","6.0","-31.0"
"AA","SFO","CLT","JFK","20.0","24.0","95.0","79.0"
"DL","SFO","LAX","JFK","241.0","224.0","75.0","54.0"
"AA","SFO","LAX","JFK","100.0","97.0","-2.0","18.0"
"AA","SFO","LAX","JFK","100.0","97.0","157.0","185.0"
"VX","SFO","LAX","JFK","17.0","25.0","54.0","66.0"
"B6","SFO","FLL","JFK","306.0","300.0","48.0","55.0"
"DL","SFO","LAX","JFK","11.0","24.0","55.0","35.0"
"VX","SFO","LAX","JFK","47.0","45.0","62.0","42.0"
"DL","SFO","DTW","JFK","9.0","-2.0","128.0","176.0"
"DL","SFO","ATL","JFK","-2.0","-36.0","59.0","129.0"
"VX","SFO","LAS","JFK","8.0","9.0","4.0","14.0"
"VX","SFO","LAX","JFK","-2.0","-12.0","32.0","13.0"
"VX","SFO","LAX","JFK","-2.0","-12.0","18.0","8.0"
"DL","SFO","SLC","JFK","9.0","0.0","-4.0","-7.0"
"VX","SFO","LAX","JFK","0.0","15.0","4.0","3.0"
"AA","SFO","PHX","JFK","-3.0","-20.0","2.0","-8.0"
"DL","SFO","ATL","JFK","0.0","-17.0","7.0","1.0"
"AA","SFO","LAX","JFK","-5.0","-3.0","18.0","2.0"
"AA","SFO","LAX","JFK","-5.0","-3.0","16.0","10.0"
"DL","SFO","LAX","JFK","-4.0","-19.0","1.0","-26.0"
"DL","SFO","LAX","JFK","-4.0","-19.0","-2.0","-15.0"
"AA","SFO","PHX","JFK","-6.0","-19.0","4.0","2.0"
"DL","SFO","LAX","JFK","26.0","33.0","-2.0","7.0"
"DL","SFO","ATL","JFK","0.0","-3.0","-5.0","-22.0"
"VX","SFO","LAX","JFK","-5.0","-1.0","-1.0","-15.0"
"B6","SFO","BOS","JFK","-2.0","8.0","-2.0","-13.0"
"B6","SFO","LGB","JFK","202.0","194.0","6.0","10.0"
"VX","SFO","LAX","JFK","27.0","21.0","-2.0","-7.0"
"DL","SFO","LAX","JFK","-5.0","-9.0","-2.0","-9.0"
"AA","SFO","LAX","JFK","-4.0","-13.0","-6.0","-13.0"
"AA","SFO","LAX","JFK","-4.0","-13.0","28.0","10.0"
"DL","SFO","LAX","JFK","10.0","3.0","-7.0","-8.0"
"AA","SFO","LAX","JFK","-4.0","-15.0","-5.0","-2.0"
"AA","SFO","LAX","JFK","-4.0","-15.0","4.0","14.0"
"VX","SFO","LAX","JFK","-3.0","-2.0","-3.0","7.0"
"AA","SFO","DFW","JFK","0.0","-4.0","-4.0","3.0"
"AA","SFO","MIA","JFK","40.0","24.0","13.0","-5.0"
"AA","SFO","MIA","JFK","40.0","24.0","6.0","-12.0"
"VX","SFO","LAX","JFK","-3.0","-14.0","18.0","9.0"
"AA","SFO","CLT","JFK","-5.0","-16.0","33.0","29.0"
"AA","SFO","LAX","JFK","-3.0","-22.0","-3.0","-33.0"
"AA","SFO","CLT","JFK","8.0","-21.0","4.0","-9.0"
"AA","SFO","DFW","JFK","5.0","-19.0","-1.0","-32.0"
"AA","SFO","LAX","JFK","-5.0","-13.0","-9.0","-20.0"
"AA","SFO","LAX","JFK","-5.0","-13.0","-6.0","-2.0"
"DL","SFO","ATL","JFK","-3.0","-14.0","1.0","-18.0"
"DL","SFO","ATL","JFK","-2.0","-14.0","12.0","-6.0"
"AA","SFO","DFW","JFK","-5.0","-3.0","-3.0","1.0"
"DL","SFO","MSP","JFK","178.0","154.0","-9.0","-37.0"
"AA","SFO","CLT","JFK","-9.0","-22.0","-1.0","15.0"
"DL","SFO","LAX","JFK","-4.0","-11.0","-2.0","-6.0"
"DL","SFO","LAX","JFK","-4.0","-11.0","0.0","-27.0"
"VX","SFO","LAX","JFK","-4.0","-15.0","0.0","-16.0"
"DL","SFO","MSP","JFK","-9.0","3.0","-3.0","-21.0"
"AA","SFO","LAX","JFK","5.0","-8.0","-4.0","-7.0"
"AA","SFO","LAX","JFK","5.0","-8.0","-2.0","-12.0"
"B6","SFO","BOS","JFK","10.0","-1.0","0.0","-6.0"
"B6","SFO","BOS","JFK","10.0","-1.0","-2.0","2.0"
"AA","SFO","MIA","JFK","-2.0","-12.0","-4.0","-3.0"
"AA","SFO","CLT","JFK","27.0","18.0","15.0","8.0"
"DL","SFO","DTW","JFK","7.0","-12.0","28.0","17.0"
"DL","SFO","ATL","JFK","0.0","-13.0","62.0","73.0"
"DL","SFO","ATL","JFK","-2.0","-26.0","0.0","-20.0"
"DL","SFO","LAX","JFK","-1.0","5.0","29.0","-16.0"
"AA","SFO","MIA","JFK","-3.0","-11.0","35.0","34.0"
"VX","SFO","LAX","JFK","-6.0","-11.0","8.0","-3.0"
"DL","SFO","ATL","JFK","-3.0","-9.0","-2.0","-16.0"
"B6","SFO","LAS","JFK","4.0","5.0","-6.0","-30.0"
"VX","SFO","LAX","JFK","4.0","8.0","-1.0","-23.0"
"DL","SFO","ATL","JFK","74.0","57.0","4.0","-10.0"
"DL","SFO","LAX","JFK","-3.0","17.0","16.0","4.0"
"AA","SFO","PHX","JFK","-2.0","-3.0","81.0","52.0"
"VX","SFO","LAX","JFK","-2.0","3.0","82.0","80.0"
"AA","SFO","PHX","JFK","4.0","-3.0","36.0","36.0"
"DL","SFO","MSP","JFK","-2.0","-10.0","-2.0","-19.0"
"VX","SFO","LAX","JFK","146.0","143.0","111.0","102.0"
"VX","SFO","LAX","JFK","9.0","16.0","-1.0","-41.0"
"AA","SFO","PHX","JFK","-2.0","-4.0","2.0","-14.0"
"AA","SFO","DFW","JFK","-2.0","-16.0","2.0","-19.0"
"DL","SFO","ATL","JFK","6.0","-7.0","0.0","-28.0"
"DL","SFO","LAX","JFK","0.0","17.0","68.0","40.0"
"AA","SFO","ORD","JFK","1.0","-31.0","-2.0","38.0"
"DL","SFO","LAX","JFK","9.0","1.0","-1.0","4.0"
"AA","SFO","CLT","JFK","19.0","42.0","28.0","27.0"
"DL","SFO","ATL","JFK","-5.0","0.0","-2.0","-13.0"
"VX","SFO","LAX","JFK","18.0","27.0","-3.0","-45.0"
"DL","SFO","ATL","JFK","10.0","5.0","3.0","-14.0"
"VX","SFO","LAX","JFK","-5.0","5.0","0.0","-11.0"
"B6","SFO","LAS","JFK","-1.0","-1.0","11.0","10.0"
"AA","SFO","PHX","JFK","2.0","7.0","-2.0","-19.0"
"B6","SFO","FLL","JFK","-5.0","15.0","-3.0","7.0"
"AA","SFO","CLT","JFK","-5.0","-19.0","4.0","10.0"
"HA","SFO","HNL","JFK","3.0","83.0","-2.0","-31.0"
"AS","SFO","SEA","JFK","-12.0","-2.0","-3.0","-18.0"
"AA","SFO","CLT","JFK","-2.0","28.0","2.0","24.0"
"B6","SFO","FLL","JFK","2.0","27.0","32.0","37.0"
"DL","SFO","ATL","JFK","0.0","3.0","20.0","20.0"
"AA","SFO","PHX","JFK","-3.0","-15.0","-1.0","-16.0"
"VX","SFO","LAX","JFK","12.0","9.0","-3.0","19.0"
"VX","SFO","LAX","JFK","12.0","9.0","41.0","31.0"
"AA","SFO","MIA","JFK","-3.0","-5.0","9.0","9.0"
"DL","SFO","ATL","JFK","0.0","-9.0","14.0","-3.0"
"AA","SFO","PHX","JFK","-3.0","-27.0","2.0","-27.0"
"VX","SFO","LAX","JFK","0.0","-6.0","3.0","1.0"
"AA","SFO","PHX","JFK","-7.0","-19.0","41.0","4.0"
"VX","SFO","LAX","JFK","-3.0","3.0","-1.0","-14.0"
"DL","SFO","ATL","JFK","7.0","-16.0","-3.0","-16.0"
"DL","SFO","LAX","JFK","-3.0","-2.0","41.0","19.0"
"VX","SFO","LAS","JFK","5.0","0.0","79.0","97.0"
"B6","SFO","BOS","JFK","177.0","184.0","-7.0","-13.0"
"DL","SFO","ATL","JFK","6.0","12.0","23.0","24.0"
"AA","SFO","PHX","JFK","17.0","18.0","31.0","39.0"
"AA","SFO","PHX","JFK","30.0","17.0","-3.0","-7.0"
"VX","SFO","LAX","JFK","0.0","1.0","76.0","58.0"
"B6","SFO","LAS","JFK","185.0","176.0","1.0",
"VX","SFO","LAX","JFK","73.0","59.0","71.0","105.0"
"B6","SFO","BOS","JFK","28.0","13.0","-5.0","-8.0"
"AA","SFO","PHX","JFK","-2.0","-9.0","4.0","13.0"
"VX","SFO","LAX","JFK","1.0","6.0","85.0","91.0"
"AA","SFO","LAX","JFK","-1.0","13.0","-6.0","-11.0"
"DL","SFO","LAX","JFK","23.0","28.0","16.0","20.0"
"DL","SFO","ATL","JFK","-3.0","-14.0","26.0","95.0"
"DL","SFO","ATL","JFK","-2.0","-19.0","114.0","101.0"
"B6","SFO","FLL","JFK","50.0","50.0","141.0","150.0"
"B6","SFO","FLL","JFK","50.0","50.0","7.0","-5.0"
"B6","SFO","FLL","JFK","50.0","50.0","-1.0","-6.0"
"AA","SFO","CLT","JFK","-1.0","-34.0","3.0","-4.0"
"AA","SFO","CLT","JFK","-1.0","-9.0","95.0","87.0"
"DL","SFO","LAX","JFK","68.0","56.0","1.0","-14.0"
"VX","SFO","LAX","JFK","0.0","-8.0","39.0","29.0"
"VX","SFO","LAX","JFK","0.0","-8.0","1.0","20.0"
"AS","SFO","SEA","JFK","-5.0","-20.0","-1.0","-26.0"
"DL","SFO","ATL","JFK","5.0","38.0","4.0","10.0"
"VX","SFO","LAX","JFK","-4.0","-20.0","1.0","-30.0"
"AA","SFO","PHX","JFK","118.0","115.0","-5.0","-14.0"
"DL","SFO","ATL","JFK","2.0","-2.0","-4.0","-26.0"
"DL","SFO","LAX","JFK","-3.0","24.0","17.0","5.0"
"DL","SFO","LAX","JFK","22.0","19.0","-3.0","-21.0"
"AA","SFO","PHX","JFK","22.0","2.0","-1.0","-15.0"
"AA","SFO","LAX","JFK","3.0","8.0","-5.0","-25.0"
"AA","SFO","LAX","JFK","3.0","8.0","0.0","-26.0"
"AA","SFO","LAX","JFK","-8.0","-6.0","8.0","-11.0"
"VX","SFO","LAX","JFK","-9.0","-17.0","-8.0","-5.0"
"AA","SFO","LAX","JFK","-5.0","-13.0","-3.0","1.0"
"VX","SFO","LAX","JFK","-4.0","-5.0","68.0","72.0"
"AA","SFO","CLT","JFK","12.0","4.0","13.0","2.0"
"DL","SFO","ATL","JFK","-3.0","-19.0","-1.0","-23.0"
"AA","SFO","LAX","JFK","-4.0","-5.0","-5.0","-10.0"
"AA","SFO","LAX","JFK","-4.0","-5.0","-4.0","-9.0"
"DL","SFO","LAX","JFK","147.0","164.0","-2.0","-13.0"
"DL","SFO","LAX","JFK","147.0","164.0","14.0","4.0"
"DL","SFO","ATL","JFK","5.0","-1.0","-2.0","-30.0"
"AA","SFO","CLT","JFK","0.0","3.0","-4.0","-14.0"
"AA","SFO","ORD","JFK","-7.0","-28.0","-7.0","-1.0"
"AA","SFO","DFW","JFK","-7.0","-2.0","19.0","9.0"
"B6","SFO","FLL","JFK","91.0","85.0","5.0","-22.0"
"AA","SFO","ORD","JFK","0.0","0.0","-9.0","-18.0"
"VX","SFO","LAX","JFK","42.0","40.0","20.0","2.0"
"B6","SFO","LAS","JFK","88.0","88.0","15.0","16.0"
"AA","SFO","ORD","JFK","0.0","-9.0","2.0","-9.0"
"DL","SFO","ATL","JFK","8.0","-12.0","0.0","-14.0"
"AA","SFO","MIA","JFK","7.0","19.0","57.0","73.0"
"VX","SFO","LAX","JFK","-4.0","1.0","85.0","91.0"
"AA","SFO","ORD","JFK","9.0","-4.0","8.0","108.0"
"AS","SFO","SEA","JFK","-9.0","-10.0","-1.0","-26.0"
"AS","SFO","SEA","JFK","11.0","11.0","6.0","-45.0"
"DL","SFO","LAX","JFK","-2.0","-4.0","-4.0","-10.0"
"DL","SFO","LAX","JFK","-2.0","-4.0","109.0","108.0"
"AA","SFO","LAX","JFK","44.0","59.0","-7.0","-25.0"
"AA","SFO","LAX","JFK","44.0","59.0","34.0","23.0"
"VX","SFO","LAX","JFK","-5.0","-8.0","1.0","-7.0"
"DL","SFO","LAX","JFK","2.0","39.0","6.0","-13.0"
"AA","SFO","ORD","JFK","-1.0","-44.0","-7.0","-14.0"
"VX","SFO","LAX","JFK","-3.0","-4.0","-1.0","-15.0"
"AA","SFO","CLT","JFK","19.0","-7.0","-2.0","-5.0"
"DL","SFO","ATL","JFK","5.0","-12.0","0.0","-2.0"
"B6","SFO","BOS","JFK","-9.0","-44.0","-1.0","-8.0"
"VX","SFO","LAX","JFK","-4.0","7.0","-3.0","-20.0"
"VX","SFO","LAX","JFK","-4.0","7.0","49.0","12.0"
"DL","SFO","ATL","JFK","6.0","11.0","-3.0","5.0"
"B6","SFO","LAS","JFK","-7.0","-20.0","-2.0","-24.0"
"B6","SFO","LAS","JFK","25.0","10.0","2.0","19.0"
"AA","SFO","PHX","JFK","0.0","1.0","4.0","-20.0"
"AA","SFO","DFW","JFK","-7.0","-26.0","46.0","63.0"
"DL","SFO","LAX","JFK","-3.0","6.0","9.0","-15.0"
"DL","SFO","LAX","JFK","13.0","1.0","7.0","-23.0"
"AA","SFO","LAX","JFK","-5.0","-6.0","-8.0","6.0"
"AA","SFO","LAX","JFK","-6.0","-24.0","-5.0","29.0"
"AA","SFO","LAX","JFK","-6.0","-24.0","32.0","32.0"
"AA","SFO","ORD","JFK","-3.0","-6.0","16.0",
"B6","SFO","BOS","JFK","-7.0","-15.0","242.0","252.0"
"B6","SFO","BOS","JFK","-7.0","-15.0","50.0","65.0"
"AA","SFO","PHX","JFK","-7.0","-1.0","14.0","40.0"
"AA","SFO","CLT","JFK","-3.0","-13.0","-1.0","-27.0"
"DL","SFO","LAX","JFK","-4.0","25.0","4.0","1.0"
"AA","SFO","PHX","JFK","12.0","17.0","-1.0","-1.0"
"AS","SFO","SEA","JFK","-5.0","4.0","-9.0","-16.0"
"DL","SFO","LAX","JFK","2.0","-13.0","-9.0","-9.0"
"DL","SFO","LAX","JFK","2.0","-13.0","-7.0","-8.0"
"B6","SFO","BOS","JFK","-5.0","3.0","-7.0","-17.0"
"B6","SFO","BOS","JFK","-5.0","3.0","-10.0","-14.0"
"B6","SFO","LAS","JFK","1.0","-15.0","-2.0","0.0"
"DL","SFO","LAX","JFK","-4.0","-11.0","-3.0","16.0"
"AA","SFO","DFW","JFK","-7.0","-27.0","-3.0","6.0"
"DL","SFO","ATL","JFK","-5.0","-10.0","-1.0","-14.0"
"AA","SFO","ORD","JFK","1.0","4.0","19.0","19.0"
"DL","SFO","LAX","JFK","114.0","113.0","35.0","22.0"
"B6","SFO","BOS","JFK","39.0","18.0","201.0","187.0"
"B6","SFO","BOS","JFK","39.0","18.0","107.0","99.0"
"DL","SFO","MSP","JFK","-2.0","-17.0","69.0","57.0"
"B6","SFO","LAS","JFK","-10.0","-12.0","0.0","6.0"
"DL","SFO","LAX","JFK","99.0","92.0","12.0","24.0"
"AS","SFO","SEA","JFK","-6.0","-7.0","8.0","-25.0"
"DL","SFO","LAX","JFK","-4.0","9.0","-1.0","-33.0"
"DL","SFO","LAX","JFK","-4.0","9.0","-5.0","16.0"
"DL","SFO","LAX","JFK","-5.0","-14.0","3.0","-19.0"
"VX","SFO","LAX","JFK","3.0","-3.0","3.0","-22.0"
"DL","SFO","SLC","JFK","295.0","281.0","2.0","-11.0"
"AS","SFO","SEA","JFK","-6.0","-15.0","3.0","-17.0"
"DL","SFO","LAX","JFK","0.0","55.0","0.0","-36.0"
"B6","SFO","LAS","JFK","-1.0","-15.0","215.0","179.0"
"VX","SFO","LAX","JFK","2.0","9.0","26.0","-10.0"
"DL","SFO","ATL","JFK","-4.0","-30.0","3.0","-16.0"
"B6","SFO","FLL","JFK","13.0","10.0","67.0","67.0"
"AA","SFO","DFW","JFK","-1.0","-24.0","9.0","16.0"
"B6","SFO","FLL","JFK","-2.0","-13.0","87.0","73.0"
"B6","SFO","FLL","JFK","-2.0","-13.0","48.0","33.0"
"AA","SFO","ORD","JFK","-6.0","-12.0","-5.0","-23.0"
"VX","SFO","LAX","JFK","-1.0","-11.0","-4.0","-33.0"
"B6","SFO","BOS","JFK","-1.0","-16.0","-4.0","-3.0"
"DL","SFO","LAX","JFK","9.0","37.0","0.0","-18.0"
"B6","SFO","BOS","JFK","21.0","4.0","-5.0","-8.0"
"DL","SFO","MSP","JFK","-7.0","-17.0","-2.0","-27.0"
"AA","SFO","CLT","JFK","-3.0","-2.0","9.0","-3.0"
"DL","SFO","LAX","JFK","91.0","104.0","34.0","8.0"
"AA","SFO","DFW","JFK","2.0","-7.0","29.0","6.0"
"DL","SFO","LAX","JFK","-6.0","1.0","29.0","-1.0"
"AA","SFO","PHX","JFK","-3.0","-9.0","0.0","-20.0"
"B6","SFO","BOS","JFK","51.0","21.0","48.0","39.0"
"VX","SFO","LAX","JFK","4.0","7.0","8.0","-13.0"
"VX","SFO","LAX","JFK","-1.0","11.0","0.0","-28.0"
"AA","SFO","LAX","JFK","-14.0","-7.0","15.0","6.0"
"AA","SFO","LAX","JFK","-14.0","-7.0","-2.0","-40.0"
"AA","SFO","ORD","JFK","-6.0","-17.0","-4.0","-31.0"
"DL","SFO","LAX","JFK","5.0","-14.0","5.0","-19.0"
